sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
ENCSR000NPF,https://www.encodeproject.org/files/ENCFF232TCS/@@download/ENCFF232TCS.fastq.gz,,1,H3K27ac,ENCSR867SJE,1
ENCSR000NPF,https://www.encodeproject.org/files/ENCFF236ZHP/@@download/ENCFF236ZHP.fastq.gz,,1,H3K27ac,ENCSR867SJE,1
ENCSR000NPF,https://www.encodeproject.org/files/ENCFF766VGS/@@download/ENCFF766VGS.fastq.gz,,1,H3K27ac,ENCSR867SJE,1
ENCSR000NPF,https://www.encodeproject.org/files/ENCFF299TZK/@@download/ENCFF299TZK.fastq.gz,,2,H3K27ac,ENCSR867SJE,2
ENCSR000NPF,https://www.encodeproject.org/files/ENCFF340KQN/@@download/ENCFF340KQN.fastq.gz,,2,H3K27ac,ENCSR867SJE,2
ENCSR000NPF,https://www.encodeproject.org/files/ENCFF366LCI/@@download/ENCFF366LCI.fastq.gz,,2,H3K27ac,ENCSR867SJE,2
ENCSR000NPF,https://www.encodeproject.org/files/ENCFF402UQN/@@download/ENCFF402UQN.fastq.gz,,2,H3K27ac,ENCSR867SJE,2
ENCSR000NPF,https://www.encodeproject.org/files/ENCFF478OZK/@@download/ENCFF478OZK.fastq.gz,,2,H3K27ac,ENCSR867SJE,2
ENCSR000NPF,https://www.encodeproject.org/files/ENCFF577YKS/@@download/ENCFF577YKS.fastq.gz,,2,H3K27ac,ENCSR867SJE,2
ENCSR001SHB,https://www.encodeproject.org/files/ENCFF271RIT/@@download/ENCFF271RIT.fastq.gz,,1,H3K27ac,ENCSR854GEV,1
ENCSR002YRE,https://www.encodeproject.org/files/ENCFF200XEH/@@download/ENCFF200XEH.fastq.gz,,1,H3K27ac,ENCSR001BSB,1
ENCSR002YRE,https://www.encodeproject.org/files/ENCFF419OFF/@@download/ENCFF419OFF.fastq.gz,,1,H3K27ac,ENCSR001BSB,1
ENCSR002YRE,https://www.encodeproject.org/files/ENCFF704RXG/@@download/ENCFF704RXG.fastq.gz,,1,H3K27ac,ENCSR001BSB,1
ENCSR002YRE,https://www.encodeproject.org/files/ENCFF734UGN/@@download/ENCFF734UGN.fastq.gz,,1,H3K27ac,ENCSR001BSB,1
