experiment_accession	is_control	matched_control	target_label	assay_title	description	lab	biosample_term_id	biosample_term_name	classification	organ_slims	cell_slims	developmental_slims	system_slims	organism	donor_accession	donor_sex	donor_life_stage	donor_age	donor_age_units	donor_ethnicity	run_type	platform	bio_replicate_count	tech_replicate_count	replication_type	date_released	status_exp	n_fastq_files	total_bytes
ENCSR545WFH	True			Control ChIP-seq	Homo sapiens esophagus muscularis mucosa tissue female adult (51 years)	Bradley Bernstein, Broad	UBERON:0004648	esophagus muscularis mucosa	tissue	musculature of body,esophagus		mesoderm	musculature,digestive system	Homo sapiens	ENCDO271OUW	female	adult	51	year		single-ended	Illumina HiSeq 2500	2	4	isogenic	2018-12-19	released	10	12192051926.0
ENCSR546SDM	False	ENCSR023HXE	H3K27ac	Histone ChIP-seq	Homo sapiens CD4-positive, alpha-beta T cell	Bradley Bernstein, Broad	CL:0000624	CD4-positive, alpha-beta T cell	primary cell	bodily fluid,blood	leukocyte,T cell,CD4+ T cell,hematopoietic cell	mesoderm,endoderm	immune system	Homo sapiens	ENCDO779YRY	unknown	unknown				single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	2	847232003.0
ENCSR548SPY	True			Control ChIP-seq	Homo sapiens A549 treated with 100 nM dexamethasone (agonist) for 1 hour	Tim Reddy, Duke	EFO:0001086	A549	cell line	lung	cancer cell	endoderm	respiratory system	Homo sapiens	ENCDO000AAZ	male	adult	58	year	European	single-ended	Illumina HiSeq 2000	3	3	isogenic	2016-07-21	released	3	1692216712.0
ENCSR549SVK	True			Control ChIP-seq	Homo sapiens A549 treated with 100 nM dexamethasone (agonist) for 12 hours	Tim Reddy, Duke	EFO:0001086	A549	cell line	lung	cancer cell	endoderm	respiratory system	Homo sapiens	ENCDO000AAZ	male	adult	58	year	European	single-ended	Illumina HiSeq 2000	3	3	isogenic	2016-07-21	released	3	2221268963.0
ENCSR549ZDH	False	ENCSR534WQA	H3K27ac	Histone ChIP-seq	Homo sapiens with Alzheimer's disease; dorsolateral prefrontal cortex tissue female adult (88 years)	Bradley Bernstein, Broad	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO070VNS	female	adult	88	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-09-21	released	8	1718493184.0
ENCSR550WUX	False	ENCSR577BCL	H3K27ac	Histone ChIP-seq	Homo sapiens lung tissue male child (3 years)	Bing Ren, UCSD	UBERON:0002048	lung	tissue	lung		endoderm	respiratory system	Homo sapiens	ENCDO478OMA	male	child	3	year		single-ended	Illumina Genome Analyzer	1	1	unreplicated	2013-07-31	released	1	919578792.0
ENCSR554HDT	False	ENCSR535VLV	H3K27ac	Histone ChIP-seq	Homo sapiens dorsolateral prefrontal cortex tissue male adult (84 years)	Bradley Bernstein, Broad	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO999WDR	male	adult	84	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-09-21	released	8	2883252807.0
ENCSR554RPI	True			Control ChIP-seq	Homo sapiens mesodermal cell originated from HUES64	Bradley Bernstein, Broad	CL:0000222	mesodermal cell	in vitro differentiated cells	embryo	embryonic cell	mesoderm		Homo sapiens	ENCDO424FTP	male	embryonic				single-ended	Illumina HiSeq 2000	2	2	isogenic	2013-07-31	released	4	1690058739.0
ENCSR555HJT	False	ENCSR739QEI	H3K27ac	Histone ChIP-seq	Homo sapiens dorsolateral prefrontal cortex tissue male adult (87 years)	Bradley Bernstein, Broad	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO203ASI	male	adult	87	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-05-06	released	8	2061719032.0
ENCSR556OGN	True			Control ChIP-seq	Homo sapiens ectodermal cell originated from HUES64	Bradley Bernstein, Broad	CL:0000221	ectodermal cell	in vitro differentiated cells	embryo	embryonic cell	ectoderm		Homo sapiens	ENCDO424FTP	male	embryonic				single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	2	728019056.0
ENCSR557DFM	False	ENCSR694AEQ	H3K27ac	Histone ChIP-seq	Homo sapiens heart left ventricle tissue male child (3 years)	Bing Ren, UCSD	UBERON:0002084	heart left ventricle	tissue	heart		mesoderm	circulatory system	Homo sapiens	ENCDO478OMA	male	child	3	year		single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	1	2121498155.0
ENCSR557HEX	True			Control ChIP-seq	Homo sapiens with mild cognitive impairment; dorsolateral prefrontal cortex tissue male adult (89 years)	Bradley Bernstein, Broad	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO697SWU	male	adult	89	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-04-12	released	8	2844434306.0
