sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
GSM1264357,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264357/fastq/SRR1029861.fastq.gz,,1,,,
GSM1264358,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264358/fastq/SRR1029862.fastq.gz,,1,H3K27ac,GSM1264359,1
GSM1264359,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264359/fastq/SRR1029863.fastq.gz,,1,,,
GSM1264360,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264360/fastq/SRR1029864.fastq.gz,,1,H3K27ac,GSM1264361,1
GSM1264361,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264361/fastq/SRR1029865.fastq.gz,,1,,,
GSM1264362,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264362/fastq/SRR1029866.fastq.gz,,1,H3K27ac,GSM1264363,1
GSM1264363,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264363/fastq/SRR1029867.fastq.gz,,1,,,
GSM1264364,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264364/fastq/SRR1029868.fastq.gz,,1,H3K27ac,GSM1264365,1
GSM1264365,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264365/fastq/SRR1029869.fastq.gz,,1,,,
GSM1264366,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264366/fastq/SRR1029870.fastq.gz,,1,H3K27ac,GSM1264367,1
GSM1264367,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264367/fastq/SRR1029871.fastq.gz,,1,,,
GSM1264370,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264370/fastq/SRR1029874.fastq.gz,,1,H3K27ac,GSM1264371,1
GSM1264371,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264371/fastq/SRR1029875.fastq.gz,,1,,,
GSM1264374,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264374/fastq/SRR1029878.fastq.gz,,1,H3K27ac,GSM1264375,1
GSM1264375,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264375/fastq/SRR1029879.fastq.gz,,1,,,
GSM1264376,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264376/fastq/SRR1029880.fastq.gz,,1,H3K27ac,GSM1264377,1
GSM1264377,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264377/fastq/SRR1029881.fastq.gz,,1,,,
GSM1264378,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264378/fastq/SRR1029882.fastq.gz,,1,H3K27ac,GSM1264379,1
GSM1264379,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264379/fastq/SRR1029883.fastq.gz,,1,,,
GSM1264380,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264380/fastq/SRR1029884.fastq.gz,,1,H3K27ac,GSM1264381,1
GSM1264381,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264381/fastq/SRR1029885.fastq.gz,,1,,,
GSM1264382,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264382/fastq/SRR1029886.fastq.gz,,1,H3K27ac,GSM1264383,1
GSM1264383,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264383/fastq/SRR1029887.fastq.gz,,1,,,
GSM1264384,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1264384/fastq/SRR1029888.fastq.gz,,1,H3K27ac,GSM1264385,1
