sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
GSM2723835,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2723835/fastq/SRR5885131_1.fastq.gz,,1,,,
GSM2723836,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2723836/fastq/SRR5885132_1.fastq.gz,,1,H3K27ac,GSM2723837,1
GSM2723836,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2723836/fastq/SRR5885133_1.fastq.gz,,1,H3K27ac,GSM2723837,1
GSM2723837,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2723837/fastq/SRR5885134_1.fastq.gz,,1,,,
GSM2723837,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2723837/fastq/SRR5885135_1.fastq.gz,,1,,,
GSM2723866,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2723866/fastq/SRR5885188.fastq.gz,,1,H3K27ac,GSM2723867,1
GSM2723867,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2723867/fastq/SRR5885189.fastq.gz,,1,,,
GSM2723868,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2723868/fastq/SRR5885190.fastq.gz,,1,H3K27ac,GSM2723869,1
GSM2723869,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2723869/fastq/SRR5885191.fastq.gz,,1,,,
GSM2740934,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2740934/fastq/SRR5928803_1.fastq.gz,,1,H3K27ac,GSM2740938,1
GSM2740938,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2740938/fastq/SRR5928807_1.fastq.gz,,1,,,
GSM2740936,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2740936/fastq/SRR5928805_1.fastq.gz,,1,H3K27ac,GSM2740940,1
